shipment_id,order_id,carrier,shipping_method,shipping_cost,shipped_at,delivered_at,shipment_status
SHIP0000070,ORD0000089,UPS,express,21.48,2026-05-04T17:00:00,2026-05-06T21:00:00,delivered
SHIP0000071,ORD0000090,UPS,express,20.72,2026-05-04T22:00:00,2026-05-06T00:00:00,delivered
SHIP0000072,ORD0000091,FedEx,standard,24.75,2026-05-04T21:00:00,2026-05-11T02:00:00,delivered
SHIP0000073,ORD0000093,DHL,overnight,16.43,2026-05-04T11:00:00,2026-05-05T17:00:00,delivered
SHIP0000074,ORD0000094,DHL,overnight,22.12,2026-05-04T20:00:00,2026-05-05T23:00:00,delivered
SHIP0000075,ORD0000096,USPS,overnight,12.68,2026-05-04T11:00:00,2026-05-05T19:00:00,delivered
SHIP0000076,ORD0000098,DHL,express,6.45,2026-05-04T10:00:00,2026-05-05T15:00:00,delivered
SHIP0000077,ORD0000099,FedEx,express,9.03,2026-05-04T11:00:00,2026-05-06T16:00:00,delivered
SHIP0000078,ORD0000100,UPS,express,25.98,2026-05-04T17:00:00,2026-05-07T18:00:00,delivered
SHIP0000079,ORD0000102,FedEx,overnight,6.24,2026-05-04T23:00:00,2026-05-06T03:00:00,delivered
SHIP0000080,ORD0000103,FedEx,standard,29.79,2026-05-04T12:00:00,,in_transit
SHIP0000081,ORD0000105,DHL,express,11.98,2026-05-04T07:00:00,,pending
SHIP0000082,ORD0000106,FedEx,standard,18.56,2026-05-04T07:00:00,2026-05-10T09:00:00,delivered
SHIP0000083,ORD0000109,USPS,express,14.58,2026-05-04T17:00:00,2026-05-05T17:00:00,delivered
SHIP0000084,ORD0000111,UPS,standard,27.08,2026-05-04T18:00:00,2026-05-08T18:00:00,delivered
SHIP0000085,ORD0000112,FedEx,standard,21.73,2026-05-04T13:00:00,2026-05-09T14:00:00,delivered
SHIP0000086,ORD0000113,Local Courier,express,7.51,2026-05-04T03:00:00,2026-05-06T10:00:00,delivered
SHIP0000087,ORD0000114,Local Courier,overnight,12.12,2026-05-04T23:00:00,2026-05-06T06:00:00,delivered
SHIP0000088,ORD0000115,FedEx,standard,28.6,2026-05-04T14:00:00,2026-05-07T17:00:00,delivered
SHIP0000089,ORD0000116,FedEx,standard,22.82,2026-05-04T20:00:00,2026-05-11T21:00:00,delivered
SHIP0000090,ORD0000117,DHL,express,26.67,2026-05-04T10:00:00,2026-05-07T10:00:00,delivered
SHIP0000091,ORD0000118,DHL,overnight,5.92,2026-05-04T02:00:00,2026-05-05T03:00:00,delivered
SHIP0000092,ORD0000119,USPS,standard,17.78,2026-05-04T17:00:00,2026-05-08T17:00:00,delivered
SHIP0000093,ORD0000121,DHL,overnight,17.05,2026-05-04T21:00:00,2026-05-05T23:00:00,delivered
SHIP0000094,ORD0000122,DHL,overnight,22.41,2026-05-04T05:00:00,2026-05-05T06:00:00,delivered
SHIP0000095,ORD0000123,Local Courier,standard,24.0,2026-05-04T18:00:00,2026-05-09T00:00:00,delivered
SHIP0000096,ORD0000124,DHL,overnight,16.4,2026-05-04T08:00:00,,in_transit
SHIP0000097,ORD0000125,DHL,overnight,21.06,2026-05-04T06:00:00,2026-05-05T07:00:00,delivered
SHIP0000098,ORD0000126,DHL,express,20.4,2026-05-04T16:00:00,,in_transit
SHIP0000099,ORD0000127,DHL,express,12.73,2026-05-04T23:00:00,,in_transit
SHIP0000100,ORD0000128,DHL,standard,20.91,2026-05-04T07:00:00,2026-05-09T14:00:00,delivered
SHIP0000101,ORD0000129,UPS,overnight,5.51,2026-05-04T12:00:00,2026-05-05T18:00:00,delivered
SHIP0000102,ORD0000130,USPS,express,25.56,2026-05-05T00:00:00,,in_transit
SHIP0000103,ORD0000131,FedEx,standard,14.23,2026-05-04T20:00:00,2026-05-11T03:00:00,delivered
SHIP0000104,ORD0000132,USPS,express,19.51,2026-05-04T23:00:00,,pending
SHIP0000105,ORD0000133,USPS,standard,4.71,2026-05-04T22:00:00,2026-05-10T06:00:00,delivered
SHIP0000106,ORD0000135,Local Courier,overnight,18.26,2026-05-04T23:00:00,2026-05-06T07:00:00,delivered
SHIP0000107,ORD0000136,Local Courier,standard,14.69,2026-05-04T09:00:00,,in_transit
