shipment_id,order_id,carrier,shipping_method,shipping_cost,shipped_at,delivered_at,shipment_status
SHIP0000155,ORD0000203,FedEx,express,4.43,2026-05-07T05:00:00,2026-05-10T12:00:00,delivered
SHIP0000156,ORD0000204,FedEx,overnight,27.91,2026-05-07T03:00:00,2026-05-08T06:00:00,delivered
SHIP0000157,ORD0000205,UPS,overnight,24.74,2026-05-07T16:00:00,2026-05-08T16:00:00,delivered
SHIP0000158,ORD0000206,FedEx,standard,24.21,2026-05-07T17:00:00,2026-05-14T18:00:00,delivered
SHIP0000159,ORD0000207,USPS,overnight,18.65,2026-05-07T15:00:00,2026-05-08T20:00:00,delivered
SHIP0000160,ORD0000208,DHL,express,9.15,2026-05-07T09:00:00,2026-05-08T15:00:00,delivered
SHIP0000161,ORD0000209,DHL,express,18.8,2026-05-07T03:00:00,2026-05-08T06:00:00,delivered
SHIP0000162,ORD0000210,USPS,standard,13.46,2026-05-07T06:00:00,2026-05-13T09:00:00,delivered
SHIP0000163,ORD0000211,UPS,standard,12.07,2026-05-07T03:00:00,,pending
SHIP0000164,ORD0000212,USPS,express,7.62,2026-05-07T12:00:00,2026-05-09T14:00:00,delivered
SHIP0000165,ORD0000213,Local Courier,standard,18.61,2026-05-07T19:00:00,2026-05-12T01:00:00,delivered
SHIP0000166,ORD0000215,USPS,standard,18.97,2026-05-07T16:00:00,2026-05-12T22:00:00,delivered
SHIP0000167,ORD0000216,FedEx,standard,11.84,2026-05-07T20:00:00,2026-05-11T22:00:00,delivered
SHIP0000168,ORD0000217,DHL,express,29.46,2026-05-07T03:00:00,,pending
SHIP0000169,ORD0000218,USPS,overnight,25.17,2026-05-07T16:00:00,2026-05-08T17:00:00,delivered
SHIP0000170,ORD0000220,DHL,overnight,22.76,2026-05-07T08:00:00,2026-05-08T12:00:00,delivered
SHIP0000171,ORD0000221,DHL,standard,15.95,2026-05-07T11:00:00,2026-05-11T18:00:00,delivered
SHIP0000172,ORD0000222,Local Courier,standard,29.36,2026-05-07T16:00:00,2026-05-11T22:00:00,delivered
SHIP0000173,ORD0000224,UPS,overnight,15.54,2026-05-07T22:00:00,2026-05-08T23:00:00,delivered
SHIP0000174,ORD0000225,UPS,overnight,3.88,2026-05-07T15:00:00,2026-05-08T23:00:00,delivered
SHIP0000175,ORD0000226,FedEx,overnight,5.19,2026-05-07T12:00:00,2026-05-08T17:00:00,delivered
SHIP0000176,ORD0000227,DHL,express,12.87,2026-05-07T21:00:00,2026-05-10T02:00:00,delivered
SHIP0000177,ORD0000228,Local Courier,overnight,4.81,2026-05-08T00:00:00,2026-05-09T05:00:00,delivered
SHIP0000178,ORD0000229,DHL,overnight,15.92,2026-05-07T20:00:00,2026-05-08T23:00:00,delivered
SHIP0000179,ORD0000230,UPS,overnight,21.37,2026-05-07T10:00:00,2026-05-08T15:00:00,delivered
SHIP0000180,ORD0000231,USPS,overnight,17.22,2026-05-07T05:00:00,2026-05-08T13:00:00,delivered
SHIP0000181,ORD0000232,Local Courier,express,15.2,2026-05-07T13:00:00,,pending
SHIP0000182,ORD0000233,FedEx,express,28.87,2026-05-07T04:00:00,,in_transit
SHIP0000183,ORD0000234,USPS,standard,26.62,2026-05-07T18:00:00,2026-05-11T00:00:00,delivered
SHIP0000184,ORD0000235,Local Courier,standard,15.8,2026-05-07T15:00:00,2026-05-13T15:00:00,delivered
SHIP0000185,ORD0000237,DHL,standard,26.54,2026-05-07T09:00:00,2026-05-14T14:00:00,delivered
SHIP0000186,ORD0000240,UPS,overnight,20.44,2026-05-07T12:00:00,2026-05-08T20:00:00,delivered
SHIP0000187,ORD0000241,USPS,express,11.21,2026-05-07T06:00:00,2026-05-08T10:00:00,delivered
SHIP0000188,ORD0000242,UPS,express,23.78,2026-05-07T03:00:00,2026-05-09T07:00:00,delivered
