shipment_id,order_id,carrier,shipping_method,shipping_cost,shipped_at,delivered_at,shipment_status
SHIP0000108,ORD0000138,Local Courier,express,21.74,2026-05-05T14:00:00,2026-05-07T17:00:00,delivered
SHIP0000109,ORD0000140,USPS,overnight,15.44,2026-05-05T20:00:00,2026-05-06T21:00:00,delivered
SHIP0000110,ORD0000142,USPS,overnight,24.29,2026-05-05T09:00:00,2026-05-06T15:00:00,delivered
SHIP0000111,ORD0000144,Local Courier,overnight,3.26,2026-05-05T10:00:00,2026-05-06T11:00:00,delivered
SHIP0000112,ORD0000145,UPS,standard,17.97,2026-05-05T07:00:00,2026-05-11T12:00:00,delivered
SHIP0000113,ORD0000146,Local Courier,express,7.94,2026-05-05T23:00:00,2026-05-08T02:00:00,delivered
SHIP0000114,ORD0000147,FedEx,express,8.58,2026-05-05T08:00:00,2026-05-08T13:00:00,delivered
SHIP0000115,ORD0000148,DHL,standard,27.85,2026-05-05T23:00:00,2026-05-11T23:00:00,delivered
SHIP0000116,ORD0000149,Local Courier,standard,25.9,2026-05-05T13:00:00,2026-05-12T20:00:00,delivered
SHIP0000117,ORD0000151,Local Courier,express,16.25,2026-05-05T18:00:00,2026-05-07T21:00:00,delivered
SHIP0000118,ORD0000152,FedEx,standard,17.19,2026-05-05T15:00:00,2026-05-11T15:00:00,delivered
SHIP0000119,ORD0000154,USPS,overnight,23.95,2026-05-05T16:00:00,2026-05-07T00:00:00,delivered
SHIP0000120,ORD0000156,DHL,standard,21.2,2026-05-05T14:00:00,2026-05-12T19:00:00,delivered
SHIP0000121,ORD0000160,UPS,standard,17.81,2026-05-05T09:00:00,2026-05-10T14:00:00,delivered
SHIP0000122,ORD0000161,USPS,express,8.68,2026-05-06T00:00:00,2026-05-08T06:00:00,delivered
SHIP0000123,ORD0000162,FedEx,overnight,6.54,2026-05-05T20:00:00,2026-05-07T00:00:00,delivered
SHIP0000124,ORD0000163,Local Courier,express,26.12,2026-05-05T08:00:00,2026-05-08T10:00:00,delivered
SHIP0000125,ORD0000166,DHL,standard,14.38,2026-05-05T06:00:00,2026-05-12T11:00:00,delivered
SHIP0000126,ORD0000168,UPS,express,18.18,2026-05-05T20:00:00,2026-05-07T21:00:00,delivered
SHIP0000127,ORD0000169,DHL,standard,24.97,2026-05-05T17:00:00,2026-05-08T22:00:00,delivered
SHIP0000128,ORD0000170,UPS,overnight,18.05,2026-05-05T10:00:00,,in_transit
SHIP0000129,ORD0000171,Local Courier,overnight,20.55,2026-05-05T19:00:00,2026-05-07T00:00:00,delivered
SHIP0000130,ORD0000172,Local Courier,express,23.92,2026-05-05T16:00:00,2026-05-07T20:00:00,delivered
SHIP0000131,ORD0000173,FedEx,standard,20.3,2026-05-05T12:00:00,2026-05-11T18:00:00,delivered
SHIP0000132,ORD0000174,DHL,standard,7.37,2026-05-05T09:00:00,2026-05-10T13:00:00,delivered
SHIP0000133,ORD0000175,Local Courier,overnight,13.68,2026-05-05T16:00:00,2026-05-07T00:00:00,delivered
