payment_id,order_id,payment_method,payment_status,payment_amount,paid_at
PAY00000181,ORD0000202,paypal,refunded,3953.75,2026-05-07T19:59:00
PAY00000182,ORD0000204,paypal,paid,3251.85,2026-05-07T22:34:00
PAY00000183,ORD0000205,bank_transfer,refunded,3696.11,2026-05-07T05:11:00
PAY00000184,ORD0000206,paypal,paid,1874.17,2026-05-07T05:15:00
PAY00000185,ORD0000207,credit_card,paid,491.56,2026-05-07T01:20:00
PAY00000186,ORD0000208,gift_card,paid,2482.57,2026-05-07T04:28:00
PAY00000187,ORD0000210,bank_transfer,paid,1484.06,2026-05-07T11:11:00
PAY00000188,ORD0000211,paypal,paid,5364.01,2026-05-07T17:45:00
PAY00000189,ORD0000212,credit_card,paid,1361.06,2026-05-07T21:20:00
PAY00000190,ORD0000213,bank_transfer,paid,2226.84,2026-05-07T04:23:00
PAY00000191,ORD0000214,cash_on_delivery,refunded,836.46,2026-05-07T17:10:00
PAY00000192,ORD0000215,gift_card,paid,691.5,2026-05-07T09:07:00
PAY00000193,ORD0000216,credit_card,refunded,2160.04,2026-05-07T12:59:00
PAY00000194,ORD0000217,cash_on_delivery,paid,1907.61,2026-05-07T04:29:00
PAY00000195,ORD0000218,bank_transfer,paid,1390.41,2026-05-07T04:00:00
PAY00000196,ORD0000219,gift_card,refunded,3255.02,2026-05-07T16:21:00
PAY00000197,ORD0000220,bank_transfer,paid,2178.07,2026-05-07T15:57:00
PAY00000198,ORD0000221,bank_transfer,paid,1008.12,2026-05-07T18:42:00
PAY00000199,ORD0000222,paypal,paid,2141.14,2026-05-07T18:46:00
PAY00000200,ORD0000223,cash_on_delivery,refunded,1777.02,2026-05-07T10:44:00
PAY00000201,ORD0000224,credit_card,paid,3863.27,2026-05-07T23:30:00
PAY00000202,ORD0000225,credit_card,paid,3411.47,2026-05-07T04:43:00
PAY00000203,ORD0000226,gift_card,paid,2177.74,2026-05-07T03:19:00
PAY00000204,ORD0000227,credit_card,paid,2973.8,2026-05-07T12:39:00
PAY00000205,ORD0000228,paypal,paid,2291.59,2026-05-07T14:22:00
PAY00000206,ORD0000230,credit_card,paid,1080.44,2026-05-07T10:03:00
PAY00000207,ORD0000231,gift_card,paid,3624.27,2026-05-07T20:12:00
PAY00000208,ORD0000232,gift_card,paid,207.04,2026-05-07T16:14:00
PAY00000209,ORD0000233,bank_transfer,paid,681.57,2026-05-07T06:01:00
PAY00000210,ORD0000234,credit_card,paid,3076.4,2026-05-07T17:54:00
PAY00000211,ORD0000235,cash_on_delivery,paid,1897.0,2026-05-07T21:42:00
PAY00000212,ORD0000236,credit_card,refunded,3359.01,2026-05-07T16:25:00
PAY00000213,ORD0000237,paypal,paid,4468.41,2026-05-07T15:20:00
PAY00000214,ORD0000238,gift_card,refunded,2777.33,2026-05-07T19:32:00
PAY00000215,ORD0000239,credit_card,refunded,1182.15,2026-05-07T21:23:00
PAY00000216,ORD0000240,cash_on_delivery,paid,1943.94,2026-05-07T04:45:00
PAY00000217,ORD0000241,cash_on_delivery,paid,2520.8,2026-05-07T11:24:00
PAY00000218,ORD0000242,bank_transfer,paid,484.74,2026-05-07T00:18:00
PAY00000219,ORD0000243,bank_transfer,refunded,1597.03,2026-05-07T11:19:00
