order_id,customer_id,order_date,order_status,currency,total_amount,created_at,updated_at
ORD0000202,CUST00046,2026-05-07,cancelled,USD,3953.75,2026-05-07T20:28:05,2026-05-07T20:28:05
ORD0000203,CUST00010,2026-05-07,pending,EUR,4464.09,2026-05-07T13:06:50,2026-05-07T13:06:50
ORD0000204,CUST00098,2026-05-07,completed,USD,3251.85,2026-05-07T13:25:09,2026-05-07T13:25:09
ORD0000205,CUST00017,2026-05-07,refunded,EUR,3696.11,2026-05-07T20:02:31,2026-05-07T20:02:31
ORD0000206,CUST00085,2026-05-07,completed,USD,1874.17,2026-05-07T09:59:28,2026-05-07T09:59:28
ORD0000207,CUST00157,2026-05-07,completed,USD,491.56,2026-05-07T07:36:40,2026-05-07T07:36:40
ORD0000208,CUST00136,2026-05-07,completed,USD,2482.57,2026-05-07T22:54:01,2026-05-07T22:54:01
ORD0000209,CUST00181,2026-05-07,pending,USD,4373.94,2026-05-07T22:01:09,2026-05-07T22:01:09
ORD0000210,CUST00067,2026-05-07,completed,USD,1484.06,2026-05-07T11:31:22,2026-05-07T11:31:22
ORD0000211,CUST00034,2026-05-07,completed,GBP,5364.01,2026-05-07T12:53:00,2026-05-07T12:53:00
ORD0000212,CUST00128,2026-05-07,completed,USD,1361.06,2026-05-07T23:00:18,2026-05-07T23:00:18
ORD0000213,CUST00060,2026-05-07,completed,USD,2226.84,2026-05-07T22:11:16,2026-05-07T22:11:16
ORD0000214,CUST00031,2026-05-07,cancelled,GBP,836.46,2026-05-07T00:03:27,2026-05-07T00:03:27
ORD0000215,CUST00189,2026-05-07,completed,USD,691.5,2026-05-07T04:17:36,2026-05-07T04:17:36
ORD0000216,CUST00106,2026-05-07,refunded,EUR,2160.04,2026-05-07T15:05:46,2026-05-07T15:05:46
ORD0000217,CUST00055,2026-05-07,completed,USD,1907.61,2026-05-07T23:12:38,2026-05-07T23:12:38
ORD0000218,CUST00066,2026-05-07,completed,USD,1390.41,2026-05-07T10:15:13,2026-05-07T10:15:13
ORD0000219,CUST00141,2026-05-07,cancelled,USD,3255.02,2026-05-07T18:26:52,2026-05-07T18:26:52
ORD0000220,CUST00088,2026-05-07,completed,USD,2178.07,2026-05-07T12:08:04,2026-05-07T12:08:04
ORD0000221,CUST00045,2026-05-07,completed,USD,1008.12,2026-05-07T01:03:36,2026-05-07T01:03:36
ORD0000222,CUST00122,2026-05-07,completed,EUR,2141.14,2026-05-07T17:26:37,2026-05-07T17:26:37
ORD0000223,CUST00040,2026-05-07,cancelled,USD,1777.02,2026-05-07T17:31:50,2026-05-07T17:31:50
ORD0000224,CUST00086,2026-05-07,completed,EUR,3863.27,2026-05-07T19:33:01,2026-05-07T19:33:01
ORD0000225,CUST00134,2026-05-07,completed,EUR,3411.47,2026-05-07T02:02:22,2026-05-07T02:02:22
ORD0000226,CUST00143,2026-05-07,completed,EUR,2177.74,2026-05-07T11:29:13,2026-05-07T11:29:13
ORD0000227,CUST00091,2026-05-07,completed,USD,2973.8,2026-05-07T12:04:39,2026-05-07T12:04:39
ORD0000228,CUST00087,2026-05-07,completed,USD,2291.59,2026-05-07T01:08:05,2026-05-07T01:08:05
ORD0000229,CUST00147,2026-05-07,pending,USD,5784.85,2026-05-07T06:02:33,2026-05-07T06:02:33
ORD0000230,CUST00193,2026-05-07,completed,USD,1080.44,2026-05-07T04:15:15,2026-05-07T04:15:15
ORD0000231,CUST00070,2026-05-07,completed,EUR,3624.27,2026-05-07T01:09:05,2026-05-07T01:09:05
ORD0000232,CUST00096,2026-05-07,completed,USD,207.04,2026-05-07T08:39:08,2026-05-07T08:39:08
ORD0000233,CUST00135,2026-05-07,completed,GBP,681.57,2026-05-07T07:52:09,2026-05-07T07:52:09
ORD0000234,CUST00200,2026-05-07,completed,USD,3076.4,2026-05-07T01:21:41,2026-05-07T01:21:41
ORD0000235,CUST00007,2026-05-07,completed,USD,1897.0,2026-05-07T18:25:21,2026-05-07T18:25:21
ORD0000236,CUST00049,2026-05-07,cancelled,GBP,3359.01,2026-05-07T05:36:35,2026-05-07T05:36:35
ORD0000237,CUST00080,2026-05-07,completed,USD,4468.41,2026-05-07T19:03:52,2026-05-07T19:03:52
ORD0000238,CUST00133,2026-05-07,cancelled,USD,2777.33,2026-05-07T03:34:38,2026-05-07T03:34:38
ORD0000239,CUST00118,2026-05-07,cancelled,USD,1182.15,2026-05-07T01:19:51,2026-05-07T01:19:51
ORD0000240,CUST00002,2026-05-07,completed,EUR,1943.94,2026-05-07T04:13:02,2026-05-07T04:13:02
ORD0000241,CUST00023,2026-05-07,completed,USD,2520.8,2026-05-07T21:38:14,2026-05-07T21:38:14
ORD0000242,CUST00134,2026-05-07,completed,EUR,484.74,2026-05-07T03:45:13,2026-05-07T03:45:13
ORD0000243,CUST00148,2026-05-07,cancelled,EUR,1597.03,2026-05-07T00:49:06,2026-05-07T00:49:06
