shipment_id,order_id,carrier,shipping_method,shipping_cost,shipped_at,delivered_at,shipment_status
SHIP0000001,ORD0000001,FedEx,express,28.52,2026-05-01T06:00:00,,pending
SHIP0000002,ORD0000002,USPS,standard,6.49,2026-05-01T19:00:00,2026-05-06T03:00:00,delivered
SHIP0000003,ORD0000003,UPS,standard,13.72,2026-05-01T03:00:00,2026-05-07T10:00:00,delivered
SHIP0000004,ORD0000004,UPS,overnight,14.59,2026-05-01T14:00:00,2026-05-02T15:00:00,delivered
SHIP0000005,ORD0000005,UPS,standard,24.64,2026-05-01T21:00:00,,in_transit
SHIP0000006,ORD0000006,FedEx,express,18.9,2026-05-01T18:00:00,2026-05-03T22:00:00,delivered
SHIP0000007,ORD0000007,FedEx,express,24.04,2026-05-01T04:00:00,2026-05-04T05:00:00,delivered
SHIP0000008,ORD0000008,FedEx,express,12.48,2026-05-01T22:00:00,,in_transit
SHIP0000009,ORD0000010,FedEx,overnight,7.13,2026-05-01T22:00:00,2026-05-03T05:00:00,delivered
SHIP0000010,ORD0000011,Local Courier,overnight,15.12,2026-05-01T20:00:00,2026-05-03T01:00:00,delivered
SHIP0000011,ORD0000012,DHL,express,14.94,2026-05-01T11:00:00,2026-05-04T11:00:00,delivered
SHIP0000012,ORD0000013,DHL,express,15.47,2026-05-01T03:00:00,,in_transit
SHIP0000013,ORD0000014,Local Courier,overnight,16.69,2026-05-01T16:00:00,2026-05-02T16:00:00,delivered
SHIP0000014,ORD0000015,Local Courier,overnight,8.08,2026-05-01T21:00:00,2026-05-02T23:00:00,delivered
SHIP0000015,ORD0000016,USPS,standard,24.9,2026-05-01T12:00:00,,pending
SHIP0000016,ORD0000018,USPS,overnight,17.11,2026-05-01T07:00:00,2026-05-02T11:00:00,delivered
SHIP0000017,ORD0000019,UPS,overnight,19.14,2026-05-01T22:00:00,,pending
SHIP0000018,ORD0000020,UPS,express,22.54,2026-05-01T23:00:00,,in_transit
SHIP0000019,ORD0000021,UPS,express,29.13,2026-05-02T00:00:00,2026-05-03T01:00:00,delivered
SHIP0000020,ORD0000022,USPS,overnight,24.37,2026-05-01T06:00:00,2026-05-02T12:00:00,delivered
SHIP0000021,ORD0000023,DHL,express,11.34,2026-05-01T08:00:00,2026-05-03T11:00:00,delivered
SHIP0000022,ORD0000024,FedEx,standard,5.08,2026-05-01T05:00:00,,pending
SHIP0000023,ORD0000025,Local Courier,standard,19.13,2026-05-01T06:00:00,2026-05-05T08:00:00,delivered
SHIP0000024,ORD0000026,DHL,express,12.84,2026-05-01T09:00:00,2026-05-04T13:00:00,delivered
SHIP0000025,ORD0000028,USPS,standard,17.42,2026-05-01T11:00:00,2026-05-07T16:00:00,delivered
SHIP0000026,ORD0000029,Local Courier,express,15.47,2026-05-01T11:00:00,2026-05-04T19:00:00,delivered
SHIP0000027,ORD0000030,FedEx,standard,24.63,2026-05-01T06:00:00,2026-05-06T13:00:00,delivered
SHIP0000028,ORD0000031,Local Courier,standard,22.21,2026-05-01T18:00:00,2026-05-04T19:00:00,delivered
SHIP0000029,ORD0000032,UPS,express,27.44,2026-05-01T06:00:00,2026-05-02T09:00:00,delivered
SHIP0000030,ORD0000033,UPS,standard,14.2,2026-05-01T14:00:00,2026-05-08T17:00:00,delivered
SHIP0000031,ORD0000035,DHL,express,9.06,2026-05-01T12:00:00,2026-05-04T17:00:00,delivered
SHIP0000032,ORD0000036,FedEx,standard,10.75,2026-05-01T17:00:00,2026-05-06T00:00:00,delivered
SHIP0000033,ORD0000037,DHL,standard,3.51,2026-05-01T08:00:00,2026-05-05T16:00:00,delivered
