payment_id,order_id,payment_method,payment_status,payment_amount,paid_at
PAY00000157,ORD0000176,paypal,paid,3191.53,2026-05-06T05:49:00
PAY00000158,ORD0000177,credit_card,paid,1767.74,2026-05-06T13:19:00
PAY00000159,ORD0000178,bank_transfer,paid,3250.16,2026-05-06T23:49:00
PAY00000160,ORD0000179,cash_on_delivery,paid,1426.95,2026-05-06T09:40:00
PAY00000161,ORD0000180,paypal,refunded,2006.64,2026-05-06T03:57:00
PAY00000162,ORD0000181,paypal,paid,2784.02,2026-05-06T06:00:00
PAY00000163,ORD0000182,gift_card,paid,3518.11,2026-05-06T08:00:00
PAY00000164,ORD0000183,cash_on_delivery,paid,1684.25,2026-05-06T15:54:00
PAY00000165,ORD0000184,cash_on_delivery,paid,5117.97,2026-05-06T17:51:00
PAY00000166,ORD0000185,credit_card,paid,4770.94,2026-05-06T19:56:00
PAY00000167,ORD0000186,cash_on_delivery,refunded,1817.54,2026-05-06T07:13:00
PAY00000168,ORD0000187,gift_card,paid,1307.42,2026-05-06T21:30:00
PAY00000169,ORD0000188,cash_on_delivery,paid,2139.25,2026-05-06T13:28:00
PAY00000170,ORD0000189,credit_card,refunded,1208.3,2026-05-06T19:38:00
PAY00000171,ORD0000191,credit_card,paid,5547.28,2026-05-06T07:56:00
PAY00000172,ORD0000192,gift_card,refunded,3353.99,2026-05-06T08:39:00
PAY00000173,ORD0000193,gift_card,refunded,1346.9,2026-05-06T06:03:00
PAY00000174,ORD0000194,paypal,paid,438.51,2026-05-06T04:03:00
PAY00000175,ORD0000196,bank_transfer,paid,4259.68,2026-05-06T01:09:00
PAY00000176,ORD0000197,credit_card,paid,422.27,2026-05-06T21:36:00
PAY00000177,ORD0000198,gift_card,paid,965.15,2026-05-06T09:21:00
PAY00000178,ORD0000199,credit_card,paid,653.96,2026-05-06T01:06:00
PAY00000179,ORD0000200,cash_on_delivery,refunded,3003.44,2026-05-06T05:10:00
PAY00000180,ORD0000201,bank_transfer,paid,422.95,2026-05-06T19:42:00
