order_id,customer_id,order_date,order_status,currency,total_amount,created_at,updated_at
ORD0000038,CUST00099,2026-05-02,completed,USD,977.77,2026-05-02T16:00:37,2026-05-02T16:00:37
ORD0000039,CUST00095,2026-05-02,completed,USD,4954.55,2026-05-02T18:06:51,2026-05-02T18:06:51
ORD0000040,CUST00187,2026-05-02,pending,USD,1514.66,2026-05-02T03:00:28,2026-05-02T03:00:28
ORD0000041,CUST00140,2026-05-02,completed,USD,2792.75,2026-05-02T06:34:12,2026-05-02T06:34:12
ORD0000042,CUST00170,2026-05-02,completed,USD,986.57,2026-05-02T11:56:21,2026-05-02T11:56:21
ORD0000043,CUST00043,2026-05-02,completed,USD,4930.4,2026-05-02T15:30:51,2026-05-02T15:30:51
ORD0000044,CUST00187,2026-05-02,cancelled,USD,613.62,2026-05-02T01:32:31,2026-05-02T01:32:31
ORD0000045,CUST00071,2026-05-02,refunded,USD,4087.5,2026-05-02T15:50:08,2026-05-02T15:50:08
ORD0000046,CUST00020,2026-05-02,completed,EUR,485.55,2026-05-02T02:05:18,2026-05-02T02:05:18
ORD0000047,CUST00192,2026-05-02,cancelled,USD,1046.15,2026-05-02T18:40:51,2026-05-02T18:40:51
ORD0000048,CUST00156,2026-05-02,cancelled,GBP,2121.17,2026-05-02T05:11:54,2026-05-02T05:11:54
ORD0000049,CUST00018,2026-05-02,cancelled,USD,5244.59,2026-05-02T04:35:45,2026-05-02T04:35:45
ORD0000050,CUST00099,2026-05-02,completed,USD,984.21,2026-05-02T13:11:07,2026-05-02T13:11:07
ORD0000051,CUST00174,2026-05-02,pending,USD,1759.82,2026-05-02T05:35:11,2026-05-02T05:35:11
ORD0000052,CUST00196,2026-05-02,completed,USD,5802.92,2026-05-02T16:09:48,2026-05-02T16:09:48
ORD0000053,CUST00102,2026-05-02,completed,USD,1604.09,2026-05-02T13:21:36,2026-05-02T13:21:36
ORD0000054,CUST00007,2026-05-02,completed,USD,4563.01,2026-05-02T04:07:49,2026-05-02T04:07:49
ORD0000055,CUST00144,2026-05-02,cancelled,USD,1314.96,2026-05-02T14:05:23,2026-05-02T14:05:23
ORD0000056,CUST00055,2026-05-02,completed,EUR,696.59,2026-05-02T16:14:53,2026-05-02T16:14:53
ORD0000057,CUST00052,2026-05-02,pending,USD,1525.7,2026-05-02T17:53:02,2026-05-02T17:53:02
ORD0000058,CUST00045,2026-05-02,completed,EUR,2444.08,2026-05-02T16:27:30,2026-05-02T16:27:30
ORD0000059,CUST00175,2026-05-02,refunded,USD,1568.48,2026-05-02T03:11:46,2026-05-02T03:11:46
ORD0000060,CUST00182,2026-05-02,pending,GBP,846.58,2026-05-02T12:38:57,2026-05-02T12:38:57
ORD0000061,CUST00041,2026-05-02,completed,USD,2462.25,2026-05-02T10:55:15,2026-05-02T10:55:15
ORD0000062,CUST00045,2026-05-02,cancelled,GBP,4466.2,2026-05-02T23:13:04,2026-05-02T23:13:04
ORD0000063,CUST00052,2026-05-02,cancelled,USD,427.81,2026-05-02T04:25:07,2026-05-02T04:25:07
ORD0000064,CUST00007,2026-05-02,cancelled,USD,1019.14,2026-05-02T17:59:12,2026-05-02T17:59:12
ORD0000065,CUST00142,2026-05-02,completed,USD,1757.45,2026-05-02T17:01:03,2026-05-02T17:01:03
ORD0000066,CUST00080,2026-05-02,completed,EUR,3645.57,2026-05-02T02:23:37,2026-05-02T02:23:37
ORD0000067,CUST00135,2026-05-02,completed,EUR,1199.27,2026-05-02T17:25:39,2026-05-02T17:25:39
ORD0000068,CUST00019,2026-05-02,completed,USD,1894.68,2026-05-02T20:55:53,2026-05-02T20:55:53
