payment_id,order_id,payment_method,payment_status,payment_amount,paid_at
PAY00000035,ORD0000038,cash_on_delivery,paid,977.77,2026-05-09T14:06:00
PAY00000036,ORD0000039,cash_on_delivery,paid,4954.55,2026-05-09T10:58:00
PAY00000037,ORD0000041,paypal,paid,2792.75,2026-05-09T11:20:00
PAY00000038,ORD0000042,cash_on_delivery,paid,986.57,2026-05-09T01:36:00
PAY00000039,ORD0000043,paypal,paid,4930.4,2026-05-09T23:09:00
PAY00000040,ORD0000044,credit_card,refunded,613.62,2026-05-09T08:35:00
PAY00000041,ORD0000045,gift_card,refunded,4087.5,2026-05-09T18:46:00
PAY00000042,ORD0000046,cash_on_delivery,paid,485.55,2026-05-09T09:09:00
PAY00000043,ORD0000047,paypal,refunded,1046.15,2026-05-09T10:14:00
PAY00000044,ORD0000048,cash_on_delivery,refunded,2121.17,2026-05-09T18:53:00
PAY00000045,ORD0000049,paypal,refunded,5244.59,2026-05-09T15:35:00
PAY00000046,ORD0000050,bank_transfer,paid,984.21,2026-05-09T08:48:00
PAY00000047,ORD0000052,cash_on_delivery,paid,5802.92,2026-05-09T23:41:00
PAY00000048,ORD0000053,cash_on_delivery,paid,1604.09,2026-05-09T14:10:00
PAY00000049,ORD0000054,bank_transfer,paid,4563.01,2026-05-09T05:08:00
PAY00000050,ORD0000055,gift_card,refunded,1314.96,2026-05-09T15:11:00
PAY00000051,ORD0000056,gift_card,paid,696.59,2026-05-09T20:03:00
PAY00000052,ORD0000058,gift_card,paid,2444.08,2026-05-09T01:53:00
PAY00000053,ORD0000059,credit_card,refunded,1568.48,2026-05-09T21:03:00
PAY00000054,ORD0000061,credit_card,paid,2462.25,2026-05-09T13:08:00
PAY00000055,ORD0000062,paypal,refunded,4466.2,2026-05-09T02:45:00
PAY00000056,ORD0000063,paypal,refunded,427.81,2026-05-09T00:13:00
PAY00000057,ORD0000064,gift_card,refunded,1019.14,2026-05-09T14:23:00
PAY00000058,ORD0000065,credit_card,paid,1757.45,2026-05-09T19:40:00
PAY00000059,ORD0000066,gift_card,paid,3645.57,2026-05-09T15:42:00
PAY00000060,ORD0000067,cash_on_delivery,paid,1199.27,2026-05-09T00:00:00
PAY00000061,ORD0000068,gift_card,paid,1894.68,2026-05-09T17:26:00
