payment_id,order_id,payment_method,payment_status,payment_amount,paid_at
PAY00000123,ORD0000138,cash_on_delivery,paid,1751.63,2026-05-05T05:11:00
PAY00000124,ORD0000139,credit_card,refunded,2876.61,2026-05-05T04:46:00
PAY00000125,ORD0000140,paypal,refunded,2367.47,2026-05-05T21:16:00
PAY00000126,ORD0000141,credit_card,refunded,851.17,2026-05-05T06:10:00
PAY00000127,ORD0000142,cash_on_delivery,paid,1990.49,2026-05-05T03:06:00
PAY00000128,ORD0000143,credit_card,refunded,84.02,2026-05-05T15:35:00
PAY00000129,ORD0000144,credit_card,paid,3552.94,2026-05-05T00:49:00
PAY00000130,ORD0000145,cash_on_delivery,paid,3250.51,2026-05-05T16:48:00
PAY00000131,ORD0000146,credit_card,paid,5143.76,2026-05-05T03:16:00
PAY00000132,ORD0000147,gift_card,paid,1461.9,2026-05-05T04:05:00
PAY00000133,ORD0000148,cash_on_delivery,paid,4444.97,2026-05-05T09:14:00
PAY00000134,ORD0000149,paypal,paid,1345.01,2026-05-05T23:18:00
PAY00000135,ORD0000150,cash_on_delivery,refunded,2697.28,2026-05-05T20:08:00
PAY00000136,ORD0000151,paypal,refunded,1242.37,2026-05-05T16:53:00
PAY00000137,ORD0000152,paypal,paid,42.88,2026-05-05T00:02:00
PAY00000138,ORD0000153,bank_transfer,refunded,803.26,2026-05-05T10:55:00
PAY00000139,ORD0000154,cash_on_delivery,paid,379.02,2026-05-05T14:55:00
PAY00000140,ORD0000155,gift_card,refunded,1772.78,2026-05-05T08:35:00
PAY00000141,ORD0000156,cash_on_delivery,paid,1304.34,2026-05-05T04:44:00
PAY00000142,ORD0000157,gift_card,refunded,1925.05,2026-05-05T05:37:00
PAY00000143,ORD0000158,gift_card,refunded,2446.96,2026-05-05T14:40:00
PAY00000144,ORD0000159,gift_card,refunded,3299.79,2026-05-05T13:33:00
PAY00000145,ORD0000161,gift_card,paid,2108.59,2026-05-05T09:58:00
PAY00000146,ORD0000162,bank_transfer,refunded,1379.54,2026-05-05T15:34:00
PAY00000147,ORD0000164,paypal,refunded,1588.75,2026-05-05T02:28:00
PAY00000148,ORD0000165,bank_transfer,refunded,3964.31,2026-05-05T11:26:00
PAY00000149,ORD0000166,bank_transfer,paid,2979.32,2026-05-05T04:19:00
PAY00000150,ORD0000167,credit_card,refunded,943.27,2026-05-05T00:33:00
PAY00000151,ORD0000168,paypal,paid,42.23,2026-05-05T11:18:00
PAY00000152,ORD0000169,cash_on_delivery,refunded,2368.48,2026-05-05T17:00:00
PAY00000153,ORD0000171,cash_on_delivery,paid,386.79,2026-05-05T15:19:00
PAY00000154,ORD0000172,credit_card,paid,152.58,2026-05-05T13:51:00
PAY00000155,ORD0000173,bank_transfer,paid,1776.33,2026-05-05T19:14:00
PAY00000156,ORD0000175,credit_card,paid,3924.39,2026-05-05T17:23:00
