payment_id,order_id,payment_method,payment_status,payment_amount,paid_at
PAY00000062,ORD0000069,cash_on_delivery,paid,6488.28,2026-05-03T15:09:00
PAY00000063,ORD0000070,gift_card,paid,695.57,2026-05-03T20:17:00
PAY00000064,ORD0000071,cash_on_delivery,paid,2619.11,2026-05-03T12:28:00
PAY00000065,ORD0000072,credit_card,paid,4351.56,2026-05-03T20:50:00
PAY00000066,ORD0000073,credit_card,refunded,3508.85,2026-05-03T12:32:00
PAY00000067,ORD0000074,bank_transfer,paid,2736.27,2026-05-03T22:59:00
PAY00000068,ORD0000075,bank_transfer,refunded,1402.75,2026-05-03T14:31:00
PAY00000069,ORD0000076,bank_transfer,refunded,2597.23,2026-05-03T18:00:00
PAY00000070,ORD0000077,credit_card,paid,727.32,2026-05-03T23:29:00
PAY00000071,ORD0000078,bank_transfer,paid,2284.71,2026-05-03T02:50:00
PAY00000072,ORD0000079,gift_card,refunded,1359.07,2026-05-03T12:13:00
PAY00000073,ORD0000081,cash_on_delivery,paid,2222.85,2026-05-03T06:31:00
PAY00000074,ORD0000082,bank_transfer,paid,1116.37,2026-05-03T10:53:00
PAY00000075,ORD0000084,bank_transfer,paid,2784.32,2026-05-03T10:35:00
PAY00000076,ORD0000085,gift_card,refunded,41.14,2026-05-03T04:36:00
PAY00000077,ORD0000086,cash_on_delivery,refunded,3993.69,2026-05-03T10:57:00
PAY00000078,ORD0000087,credit_card,refunded,2977.9,2026-05-03T01:06:00
PAY00000079,ORD0000088,cash_on_delivery,paid,1435.42,2026-05-03T00:07:00
