shipment_id,order_id,carrier,shipping_method,shipping_cost,shipped_at,delivered_at,shipment_status
SHIP0000034,ORD0000038,Local Courier,express,5.46,2026-05-02T18:00:00,,pending
SHIP0000035,ORD0000039,USPS,overnight,4.56,2026-05-02T16:00:00,2026-05-03T16:00:00,delivered
SHIP0000036,ORD0000040,DHL,overnight,8.88,2026-05-02T04:00:00,2026-05-03T09:00:00,delivered
SHIP0000037,ORD0000041,Local Courier,standard,28.23,2026-05-02T04:00:00,2026-05-08T08:00:00,delivered
SHIP0000038,ORD0000042,FedEx,overnight,29.41,2026-05-02T22:00:00,2026-05-04T04:00:00,delivered
SHIP0000039,ORD0000043,USPS,express,5.17,2026-05-02T23:00:00,,pending
SHIP0000040,ORD0000045,Local Courier,standard,22.65,2026-05-02T09:00:00,2026-05-05T13:00:00,delivered
SHIP0000041,ORD0000046,Local Courier,express,17.36,2026-05-02T09:00:00,2026-05-04T14:00:00,delivered
SHIP0000042,ORD0000050,FedEx,overnight,23.67,2026-05-02T03:00:00,2026-05-03T03:00:00,delivered
SHIP0000043,ORD0000051,DHL,standard,19.04,2026-05-02T16:00:00,2026-05-09T16:00:00,delivered
SHIP0000044,ORD0000052,DHL,express,14.85,2026-05-02T19:00:00,2026-05-03T21:00:00,delivered
SHIP0000045,ORD0000053,UPS,standard,25.03,2026-05-02T20:00:00,2026-05-08T01:00:00,delivered
SHIP0000046,ORD0000054,FedEx,overnight,17.07,2026-05-02T15:00:00,2026-05-03T15:00:00,delivered
SHIP0000047,ORD0000056,Local Courier,overnight,27.61,2026-05-02T22:00:00,,pending
SHIP0000048,ORD0000057,USPS,overnight,11.61,2026-05-02T15:00:00,2026-05-03T19:00:00,delivered
SHIP0000049,ORD0000058,Local Courier,express,9.51,2026-05-02T09:00:00,2026-05-05T11:00:00,delivered
SHIP0000050,ORD0000059,DHL,overnight,14.14,2026-05-02T15:00:00,2026-05-03T17:00:00,delivered
SHIP0000051,ORD0000060,UPS,standard,11.92,2026-05-02T04:00:00,2026-05-08T05:00:00,delivered
SHIP0000052,ORD0000061,FedEx,standard,10.25,2026-05-02T23:00:00,2026-05-09T23:00:00,delivered
SHIP0000053,ORD0000065,FedEx,overnight,22.56,2026-05-02T19:00:00,2026-05-03T22:00:00,delivered
SHIP0000054,ORD0000066,UPS,express,28.84,2026-05-02T02:00:00,2026-05-03T03:00:00,delivered
SHIP0000055,ORD0000067,USPS,standard,21.78,2026-05-03T00:00:00,2026-05-07T03:00:00,delivered
SHIP0000056,ORD0000068,UPS,express,15.59,2026-05-02T22:00:00,2026-05-05T02:00:00,delivered
