shipment_id,order_id,carrier,shipping_method,shipping_cost,shipped_at,delivered_at,shipment_status
SHIP0000057,ORD0000069,USPS,overnight,6.72,2026-05-10T14:00:00,2026-05-11T21:00:00,delivered
SHIP0000058,ORD0000070,FedEx,overnight,7.51,2026-05-10T11:00:00,2026-05-11T16:00:00,delivered
SHIP0000059,ORD0000071,Local Courier,standard,26.37,2026-05-10T02:00:00,2026-05-16T05:00:00,delivered
SHIP0000060,ORD0000072,Local Courier,overnight,20.63,2026-05-10T15:00:00,2026-05-11T22:00:00,delivered
SHIP0000061,ORD0000074,DHL,overnight,3.83,2026-05-10T09:00:00,2026-05-11T13:00:00,delivered
SHIP0000062,ORD0000077,UPS,standard,24.08,2026-05-10T20:00:00,,in_transit
SHIP0000063,ORD0000078,UPS,overnight,25.23,2026-05-10T13:00:00,2026-05-11T20:00:00,delivered
SHIP0000064,ORD0000080,USPS,standard,22.87,2026-05-10T22:00:00,2026-05-14T22:00:00,delivered
SHIP0000065,ORD0000081,UPS,standard,14.85,2026-05-10T05:00:00,2026-05-14T10:00:00,delivered
SHIP0000066,ORD0000082,Local Courier,overnight,14.56,2026-05-10T21:00:00,2026-05-12T00:00:00,delivered
SHIP0000067,ORD0000083,Local Courier,express,17.37,2026-05-10T21:00:00,2026-05-12T02:00:00,delivered
SHIP0000068,ORD0000084,UPS,express,18.46,2026-05-10T18:00:00,2026-05-12T00:00:00,delivered
SHIP0000069,ORD0000088,UPS,overnight,6.43,2026-05-10T06:00:00,2026-05-11T11:00:00,delivered
